Season,Episode,Title,Scene,Person,Said
1,34,Cat Scratch Fever,EVIL SCHEME,Achilles Milo,"The speed at which the toxin overtakes the animal's system is something to behold, Mr. Daggett. Even with a species this large. There. You can see the change almost instantly. Careful, sir. One little nip and the toxin will spread through you with the same virulence."
1,37,Moon of the Wolf,ACHILLES MILO,Achilles Milo,"Just under the wire! Oh, please! Spare me the melodrama! In precisely 7 seconds, all your fearsome growling won't mean a blessed thing! There, all better. Easy. Easy. It'll al be over soon. Now that you've taken care of Hamner."
1,2,On Leather Wings,None,Alfred,My heavens! You mean it wasn't you tossing guards out of windows last night?
1,2,On Leather Wings,None,Alfred,And you suspect a pattern?
1,2,On Leather Wings,None,Alfred,"I'll cancel Master Bruce's rendezvous with. . . Bambi, was it, sir?"
1,2,On Leather Wings,THE TELEPHONE RINGS AND ALFRED ANSWERS,Alfred,"I didn't realize you've taken up to listening to rock'n'roll, sir."
1,2,On Leather Wings,THE TELEPHONE RINGS AND ALFRED ANSWERS,Alfred,"Wayne Manor. -- One moment please. (to Batman, covering the speaker) A call for master Bruce from a Dr. March."
1,2,On Leather Wings,THE TELEPHONE RINGS AND ALFRED ANSWERS,Alfred,"And those ""melodic sounds""?"
1,2,On Leather Wings,THE TELEPHONE RINGS AND ALFRED ANSWERS,Alfred,"I would say, sir, that we have ourselves an incongruity?"
1,2,On Leather Wings,None,Alfred,"Two for dinner, sir?"
1,2,On Leather Wings,None,Alfred,"Does it appear feasible, sir?"
1,3,Christmas with the Joker,BACK IN WAYNE MANOR,Alfred,The Christmas' goose will be ready shortly.
1,3,Christmas with the Joker,BACK TO NORMALITY,Alfred,"It was nice of Commissioner Gordon to give you that recording of ""It's a Wonderful Life""."
1,4,Feat of Clay Part I,BAD NEWS,Alfred,"I suggest you consult the morning paper, sir."
1,5,Feat of Clay Part II,PLAN OF ACTION,Alfred,"I've acquired the Matt Hagen films you requested, sir."
1,5,Feat of Clay Part II,AFTERMATH,Alfred,"My word, sir. I should think after all this, it would be time to rest."
1,5,Feat of Clay Part II,AFTERMATH,Alfred,Electricity has no effect on it?
1,7,Joker's Favor,THE TESTIMONIAL ATTACK,Alfred,"Sir, I believe you may be needed inside."
1,8,The Cat and the Claw Part II,THE ASSISTANT AND THE BUTLER,Alfred,"(picking a hair from Bruce's jacket) What an unusual color. Miss Kyle's, I pressume?"
1,8,The Cat and the Claw Part II,THE ASSISTANT AND THE BUTLER,Alfred,Curious. Haven't seen one quite that color.
1,9,Pretty Poison,HARVEY'S FALL,Alfred,"In my humble opinion, sir, exquisite."
1,9,Pretty Poison,HARVEY'S FALL,Alfred,"As I anticipated, sir. It is idling up front with a full tank of gas. -- May I recommend the Trout Almondine?"
1,9,Pretty Poison,HARVEY'S FALL,Alfred,"Wise decision, sir. Bon appetit"
1,9,Pretty Poison,THE SEARCH,Alfred,"Indeed we have, sir. (takes the results sheet) It is a lethal poison derived from the plant Rosaceae Vularis, commonly known as the Wild Thorny Rose."
1,9,Pretty Poison,THE SEARCH,Alfred,I'm afraid this is unfeasible.
1,9,Pretty Poison,THE SEARCH,Alfred,"Because, sir, the wild thorny rose has been extinct for nearly 5 years; which means, I'm afraid..."
1,9,Pretty Poison,THE SEARCH,Alfred,"Yes, sir?"
1,9,Pretty Poison,THE SEARCH,Alfred,"Consider it done, sir."
1,9,Pretty Poison,THE SEARCH,Alfred,"Well, sir. Ms. Isley is a research chemist with Chez Gerard, the cosmetics firm. She works on the development of new fragrances. Their newest is a perfume called Nightshade."
1,9,Pretty Poison,THE SEARCH,Alfred,"Ms. Isley has a PhD in Botany from Gotham University, where she offers a monthly lecture series on endangered and extinct plant species."
1,10,Nothing to Fear,BRUCE AFFECTED BY FEAR GAS IN THE BATCAVE,Alfred,Someone dressed up in a frightening costume running around scaring people. What will they think of next?
1,10,Nothing to Fear,BRUCE AFFECTED BY FEAR GAS IN THE BATCAVE,Alfred,"Perhaps he flunked Phis. Ed. Are you alright, sir?"
1,10,Nothing to Fear,BRUCE AFFECTED BY FEAR GAS IN THE BATCAVE,Alfred,"That's rubbish! I know your father would be proud of you, because, I'm so proud of you. Now come on, it's time for chicken soup and a good night's sleep."
1,10,Nothing to Fear,BRUCE AFFECTED BY FEAR GAS IN THE BATCAVE,Alfred,Yes?
1,12,Appointment in Crime Alley,BATMAN'S APPOINTMENT,Alfred,"You don't want to be late for your 8 o'clock appointment, sir."
1,12,Appointment in Crime Alley,BATMAN'S APPOINTMENT,Alfred,"No, sir. Not once in all these years."
1,12,Appointment in Crime Alley,HOSTAGE SITUATION,Alfred,"No, sir. Is anything wrong?"
1,14,Heart of Ice,BATMAN INVESTIGATES,Alfred,My word!
1,14,Heart of Ice,CATCHING A COLD,Alfred,"(notices Johnny on a special chamber in the Batcave) I must say, you're showing a surprising amount of compassion for that man. Considering he would surely have left you to die in his place. -- With all the compartments on your belt, you'd think there'd be one for tissues."
1,14,Heart of Ice,CATCHING A COLD,Alfred,You could use a hot bath yourself!
1,14,Heart of Ice,THE PLAN,Alfred,Does it say what caused the accident?
1,14,Heart of Ice,THE PLAN,Alfred,If you're going to go sneaking around a crowded office building you'll need this.
1,14,Heart of Ice,THE PLAN,Alfred,"Chicken soup, the only way to fight a cold."
1,15,The Last Laugh,SUNSET IN WAYNE MANOR,Alfred,"Well, you'll be happy to know I've drawn you a bath, whenever you're ready."
1,15,The Last Laugh,SUNSET IN WAYNE MANOR,Alfred,"(shows Bruce a picture of a bath) I said I drew you a bath, sir. April Fools!"
1,15,The Last Laugh,SUNSET IN WAYNE MANOR,Alfred,Not a funny bone in his entire body.
1,15,The Last Laugh,SUNSET IN WAYNE MANOR,Alfred,"Right away, sir."
1,15,The Last Laugh,SUNSET IN WAYNE MANOR,Alfred,Sounds like a rather dirty April Fools prank.
1,15,The Last Laugh,ALFRED'S FALL,Alfred,"Oh, go fetch it yourself! (Blows raspberry)"
1,15,The Last Laugh,ALFRED'S FALL,Alfred,"(Waving a broom upside down) Just a little spring cleaning, sir. Ha ha ha ha ha!"
1,15,The Last Laugh,ALFRED'S FALL,Alfred,I believe I've contracted a giant case of the giggles. Ha ha hahaha!
1,15,The Last Laugh,FINAL CONFRONTATION AND AFTERMATH,Alfred,"What's wrong, sir? I destroyed a priceless Ming Vase and you ask me what's wrong?"
1,15,The Last Laugh,FINAL CONFRONTATION AND AFTERMATH,Alfred,"(Shocked and sad) Very well, sir."
1,16,Eternal Youth,RICH MAN'S WORLD,Alfred,"And with me helping you to answer your mail, nothing will. (Opens a letter) Ah, it says here you've just won ten million dollars."
1,16,Eternal Youth,RICH MAN'S WORLD,Alfred,"You also received a tape from some enterprise called ""Eternal Youth"". Shall I have a look?"
1,16,Eternal Youth,RICH MAN'S WORLD,Alfred,"Oh my, they even speak in unison! (Someone Knocks the door and Alfred opens) Maggie!"
1,16,Eternal Youth,RICH MAN'S WORLD,Alfred,"As much as I'd love to, Master Bruce insists I review this tape."
1,16,Eternal Youth,RICH MAN'S WORLD,Alfred,"uh--- Thank you sir, but we couldn't possibly accept it. It's much too generous."
1,16,Eternal Youth,RICH MAN'S WORLD,Alfred,I'm afraid it's quite out of the question! (Alfred is forced to go with Maggie) I've been Shanghaied.
1,16,Eternal Youth,RICH MAN'S WORLD,Alfred,"(Maggie starts speeding on their way) OOHH, MAGGIE!"
1,16,Eternal Youth,ETERNAL YOUTH,Alfred,Not a day over ninety.
1,16,Eternal Youth,ETERNAL YOUTH,Alfred,(sotto) What a relaxing thought.
1,16,Eternal Youth,ETERNAL YOUTH,Alfred,"Hmm, quite refresing actually."
1,16,Eternal Youth,ETERNAL YOUTH,Alfred,"Now, this is the kind of wilderness experience that I would enjoy!"
1,16,Eternal Youth,INVESTIGATION AND DOWNFALL,Alfred,"Yes, Master Bruce, I did ask about that lady, as you requested. It seems she left by herself two weekends ago. Though why anyone would want to leave this place is beyond me! (chuckles)"
